"Top of Interval z(i) (cm)","Mid Depth zi (cm)","Mass Depth Section mi gcm^-2","Cumulative Mass Depth Layer m(i) gcm^-2","CF Age (CE)","CFCS Age (CE)"
0,,,0,2021.59428503632,
,0.5,0.11305196145,,,2021.59428503632
1,,,0.2261039229,2019.87743007069,
,1.5,0.3634480695,,,2019.50353460507
2,,,0.5007922161,2017.8173998214,
,2.5,0.64255289735,,,2017.41278417381
3,,,0.7843135786,2015.48456204801,
,3.5,0.9304907945,,,2015.32203374256
4,,,1.0766680104,2012.82048829589,
,4.5,1.22447786695,,,2013.2312833113
5,,,1.3722877235,2009.94141827669,
,5.5,1.51966173985,,,2011.14053288005
6,,,1.6670357562,2007.05591832415,
,6.5,1.81158780985,,,2009.04978244879
7,,,1.9561398635,2003.99050119144,
,7.5,2.0974987264,,,2006.95903201754
8,,,2.2388575893,2001.096009386,
,8.5,2.3806154863,,,2004.86828158628
9,,,2.5223733833,1998.80397862144,
,9.5,2.6623554754625,,,2002.77753115503
10,,,2.802337567625,1996.54692776162,
,10.5,2.94054385495,,,2000.68678072377
11,,,3.078750142275,1994.32800120371,
,11.5,3.2151806247625,,,1998.59603029252
12,,,3.35161110725,1992.15045531778,
,12.5,3.4862657849,,,1996.50527986126
13,,,3.62092046255,1990.01763630353,
,13.5,3.7557439382,,,1994.41452943001
14,,,3.89056741385,1987.37789382392,
,14.5,4.02784839365,,,1992.32377899875
15,,,4.16512937345,1984.32059884916,
,15.5,4.29883606655,,,1990.2330285675
16,,,4.43254275965,1981.26447974905,
,16.5,4.5676324342,,,1988.14227813624
17,,,4.70272210875,1978.32577682241,
,17.5,4.83844505435,,,1986.05152770499
18,,,4.97416799995,1975.71079976512,
,18.5,5.11012795555,,,1983.96077727374
19,,,5.24608791115,1972.95943803386,
,19.5,5.38006682725,,,1981.87002684248
20,,,5.51404574335,1970.03215384874,
,20.5,5.6768159043,,,1979.77927641123
21,,,5.83958606525,1967.12530948172,
,21.5,6.00279514145,,,1977.68852597997
22,,,6.16600421765,1964.03152007706,
,22.5,6.3324475641,,,1975.59777554872
23,,,6.49889091055,1960.20195408024,
,23.5,6.66442745005,,,1973.50702511746
24,,,6.82996398955,1955.20484243609,
,24.5,6.99043522293333,,,1971.41627468621
25,,,7.15090645631667,1950.07636217548,
,25.5,7.30631238358333,,,1969.32552425495
26,,,7.46171831085,1944.80240591577,
,26.5,7.612058932,,,1967.2347738237
27,,,7.76239955315,1939.3665036942,
,27.5,7.9182621385,,,1960.97418431316
28,,,8.07412472385,1932.85326678075,
,28.5,8.22589660585,,,1954.71359480263
29,,,8.37766848785,1927.60495630949,
,29.5,8.54113471495,,,1948.45300529209
30,,,8.70460094205,1921.46387354933,
,30.5,8.87043892575,,,1942.19241578156
31,,,9.03627690945,1914.30475392405,
,31.5,9.18695336835,,,1935.93182627102
32,,,9.33762982725,1908.61588140741,
,32.5,9.4898235377,,,1929.67123676049
33,,,9.64201724815,1902.38888134608,
,33.5,9.78848682875,,,1923.41064724995
34,,,9.93495640935,1897.0691129941,
,34.5,10.0867337012,,,1917.15005773942
35,,,10.23851099305,,
